15 июл. 2026 18:52:38,013 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@951301528
15 июл. 2026 18:52:38,047 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@951301528
15 июл. 2026 18:52:39,817 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@517372168
15 июл. 2026 18:52:39,817 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1105606983
15 июл. 2026 18:52:41,604 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@530428061
15 июл. 2026 18:52:41,604 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@530428061
15 июл. 2026 18:52:41,723 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2019139599
15 июл. 2026 18:52:41,746 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2019139599
15 июл. 2026 18:52:44,831 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1300742696
15 июл. 2026 18:52:44,846 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1688800816
15 июл. 2026 18:52:44,846 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1300742696
15 июл. 2026 18:52:48,305 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1193618588
15 июл. 2026 18:52:48,306 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1193618588
15 июл. 2026 18:52:48,310 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1029360725
15 июл. 2026 18:52:48,343 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1029360725
15 июл. 2026 18:52:52,427 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@550034206
15 июл. 2026 18:52:52,618 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@550034206
15 июл. 2026 18:52:52,651 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@491688816
15 июл. 2026 18:52:53,458 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@491688816
15 июл. 2026 18:52:53,459 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@379707525
15 июл. 2026 18:52:53,482 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@379707525
15 июл. 2026 18:52:53,982 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1488921101
15 июл. 2026 18:52:53,994 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1488921101
15 июл. 2026 18:52:54,007 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1634250166
15 июл. 2026 18:52:54,069 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@289755566
15 июл. 2026 18:52:54,185 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@289755566
16 июл. 2026 14:11:55,686 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@84521988
16 июл. 2026 14:11:57,084 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1047515321
16 июл. 2026 14:11:57,084 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@84521988
16 июл. 2026 14:11:57,261 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1807634633
16 июл. 2026 14:12:00,874 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@50523925
16 июл. 2026 14:12:00,874 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@25176100
16 июл. 2026 14:12:01,030 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1240556195
16 июл. 2026 14:12:01,116 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@213608377
16 июл. 2026 14:12:01,165 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@999638493
16 июл. 2026 14:12:01,165 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@33537374
16 июл. 2026 14:12:01,166 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1641457063
16 июл. 2026 14:12:01,166 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2100603977
16 июл. 2026 14:12:01,166 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1488344237
16 июл. 2026 14:12:01,166 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1550707750
16 июл. 2026 14:12:03,873 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2133222762
16 июл. 2026 14:12:03,873 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1086441429
16 июл. 2026 14:12:03,874 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@872007918
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1488344237
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1550707750
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1240556195
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@50523925
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@25176100
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1641457063
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2100603977
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@999638493
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@213608377
16 июл. 2026 14:12:04,088 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@33537374
16 июл. 2026 14:12:04,119 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1146718452
16 июл. 2026 14:12:04,122 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1743029279
16 июл. 2026 14:12:04,698 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@973662864
16 июл. 2026 14:12:04,707 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@973662864
16 июл. 2026 14:12:04,708 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1146718452
16 июл. 2026 14:12:04,708 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1743029279
16 июл. 2026 14:12:04,725 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1047515321
16 июл. 2026 14:12:28,877 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1067498631
20 июл. 2026 18:52:56,764 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1422257379
20 июл. 2026 18:52:57,963 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1047515321
20 июл. 2026 18:52:57,964 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1422257379
20 июл. 2026 18:52:58,133 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@296974277
20 июл. 2026 18:53:00,690 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@289369054
20 июл. 2026 18:53:00,690 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@727407177
20 июл. 2026 18:53:00,830 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1894126958
20 июл. 2026 18:53:00,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1325138732
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@207434446
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1541951357
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@280498897
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1674753619
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1810326901
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1159522391
20 июл. 2026 18:53:00,966 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1902194979
20 июл. 2026 18:53:03,227 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@110591683
20 июл. 2026 18:53:03,227 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@733445715
20 июл. 2026 18:53:03,227 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@645790576
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1902194979
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@207434446
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1810326901
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@727407177
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@289369054
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1674753619
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1325138732
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1894126958
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@280498897
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1159522391
20 июл. 2026 18:53:03,728 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1541951357
20 июл. 2026 18:53:03,755 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@720360206
20 июл. 2026 18:53:03,758 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1900978326
20 июл. 2026 18:53:04,423 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1903233747
20 июл. 2026 18:53:04,434 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@720360206
20 июл. 2026 18:53:04,434 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1900978326
20 июл. 2026 18:53:04,434 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1903233747
20 июл. 2026 18:53:04,451 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1047515321
20 июл. 2026 18:53:19,226 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@966918599
20 июл. 2026 18:54:30,656 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1905388999
20 июл. 2026 18:54:30,658 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1610948838
20 июл. 2026 18:54:31,698 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1610948838
20 июл. 2026 18:54:32,018 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@539626604
20 июл. 2026 18:54:32,063 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1758019045
20 июл. 2026 18:54:32,208 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1758019045
20 июл. 2026 18:54:38,704 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@936206983
20 июл. 2026 18:54:38,803 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@936206983
20 июл. 2026 18:54:55,289 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1994450283
20 июл. 2026 18:55:59,654 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1994450283
20 июл. 2026 19:02:34,594 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@8621760
20 июл. 2026 19:02:35,329 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@959834536
20 июл. 2026 19:02:35,330 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@8621760
20 июл. 2026 19:02:36,131 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@670959005
20 июл. 2026 19:02:36,610 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@835206467
20 июл. 2026 19:02:36,610 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@920052537
20 июл. 2026 19:02:36,842 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@128519351
